cell_name,mannwhitneyu_Shock_Ocurred_Choice_Time_s_True_106_minus10_to_minus5_0_to_3,mannwhitneyu_Block_Choice_Time_s_3dot0_106_minus10_to_minus5_minus3_to_0,mannwhitneyu_Reward_Size_Choice_Time_s_Large_106_minus10_to_minus5_0_to_3
1_C01,-,Neutral,-
1_C02,-,-,-
1_C05,-,Neutral,Neutral
1_C08,+,-,+
1_C10,-,-,-
1_C11,-,-,Neutral
1_C12,-,+,-
1_C13,-,-,-
1_C14,-,+,-
1_C16,-,+,Neutral
1_C19,+,+,+
1_C20,+,+,+
1_C21,-,Neutral,-
1_C22,+,Neutral,Neutral
1_C23,-,Neutral,-
1_C24,-,Neutral,-
1_C25,-,Neutral,-
1_C26,-,Neutral,Neutral
1_C28,-,Neutral,-
1_C29,-,-,-
1_C30,-,Neutral,-
1_C32,-,-,-
1_C33,-,-,-
3_C03,-,Neutral,-
3_C04,+,Neutral,Neutral
3_C05,-,-,Neutral
3_C07,-,Neutral,-
11_C03,-,Neutral,Neutral
11_C04,+,Neutral,+
13_C02,-,Neutral,Neutral
13_C03,-,Neutral,-
13_C09,+,+,+
8_C01,-,Neutral,Neutral
8_C03,+,Neutral,+
8_C05,+,+,Neutral
8_C06,-,-,-
8_C08,-,Neutral,+
8_C10,-,-,-
8_C12,+,+,-
8_C13,+,+,+
9_C08,+,Neutral,+
