cell_name,mannwhitneyu_Shock_Ocurred_Choice_Time_s_True_99_minus10_to_minus5_0_to_3,mannwhitneyu_Block_Choice_Time_s_3dot0_99_minus10_to_minus5_minus3_to_0,mannwhitneyu_Reward_Size_Choice_Time_s_Large_99_minus10_to_minus5_0_to_3
1_C02,+,Neutral,Neutral
1_C05,+,Neutral,Neutral
1_C07,+,Neutral,Neutral
1_C11,+,-,+
1_C13,+,Neutral,Neutral
1_C16,+,+,-
1_C17,+,-,+
1_C18,+,-,+
1_C19,+,Neutral,Neutral
3_C01,+,-,+
3_C02,+,Neutral,-
3_C07,+,Neutral,+
3_C12,+,Neutral,Neutral
3_C14,+,Neutral,Neutral
6_C02,+,-,Neutral
6_C04,+,+,+
6_C06,+,+,+
6_C15,+,Neutral,Neutral
6_C19,+,+,+
7_C03,+,Neutral,+
7_C05,+,-,+
11_C02,+,-,+
13_C05,+,Neutral,Neutral
8_C06,+,Neutral,+
8_C09,+,-,Neutral
9_C02,+,-,Neutral
9_C09,+,+,+
